,ego,activated,activated alters,timestep,true threshold,bin_var1,var1,var2,observed
252,269,1,8,6,5.242394091688722,0,-0.6796314684630742,1.0070349890271542,0
253,270,1,8,6,6.288445417193668,0,0.15357728464787637,0.38541483974402013,0
254,271,1,3,4,2.693023826010928,1,-1.2126158854290572,0.8010521801405254,1
255,272,1,0,1,-0.8484834728932333,1,-1.0219456022325963,-1.4775722789825212,1
256,273,1,4,4,3.2963064117715835,1,0.1125502974064207,-0.806347739343712,0
257,274,1,8,5,6.80877312208696,0,1.4631412028644186,-0.8792031184770749,0
258,275,1,9,5,5.47672028654933,1,0.7194569091181724,-0.302441334484256,0
259,276,1,1,2,0.2965610889650148,1,-0.13954811754011742,-1.1305837384838544,1
260,277,1,3,3,2.317181678839521,0,-1.6078069458963227,1.144120528551048,0
261,278,1,7,4,4.89556139508619,1,-0.014972904153831176,-0.04903417841808838,0
262,279,1,3,3,2.073089552516694,1,-0.8467720696477395,-0.21883528216027437,0
263,280,1,10,5,9.024816546920855,0,0.5544363312717677,0.506723493136712,0
264,281,1,3,3,2.5590610875116986,0,-0.701355060216922,-0.6895951701635091,0
265,282,1,8,4,4.016882086733635,0,0.13314998782352314,-0.49140772027322266,0
266,283,1,1,2,0.07703951302491924,1,-0.06795653032941794,-1.2127821013970312,1
267,284,1,2,3,1.045621100467054,0,-0.9251561725080973,-0.33443255280136486,1
268,285,1,12,6,9.063604538911106,1,0.10667163064659721,1.124588787441482,0
269,286,1,12,6,11.93288165511004,1,0.7715012785715292,1.8299822394873275,0
270,287,1,0,1,-2.0485289398844446,1,-1.1537645156216423,-0.8536845732335374,1
271,288,1,7,5,6.499357213771617,0,-0.369246496654719,0.817206867388773,0
272,289,1,2,3,1.0235610933711277,0,-0.5403115362707571,-0.252768708363671,1
273,290,1,5,5,4.477086791975694,0,-0.10838049133286005,-0.3353427041963161,1
274,291,1,4,5,3.478415334173315,1,1.1376971874047717,-0.9826356042016434,1
275,293,1,3,4,2.0277942463515397,0,-1.232238497134954,-0.1057935336437537,1
276,294,1,9,9,8.10521159657618,1,0.8233838155525662,0.589518608307108,1
277,296,1,11,11,10.129763479688167,1,-0.846826476234044,2.6128031287625535,1
278,297,1,10,10,8.030648456592013,1,0.7683479257507612,0.8235012870916418,0
279,298,1,8,9,6.823584948434585,0,-0.7265057525382023,1.4787046197124427,0
280,299,1,3,5,2.364676279064572,1,-0.8585873690646209,-0.1578401299865222,1
281,300,1,0,1,-2.0424121555099277,1,-0.6906379930168445,-1.0799350525839637,1
282,301,1,6,8,4.399051784399551,1,-0.30076427533950295,0.32816298453367054,0
283,302,1,7,8,6.4163411035327425,0,0.13603147956662226,0.11072646059142217,0
284,304,1,0,1,-0.8216286136095555,1,-0.9196090726800898,-0.2910275626013695,1
285,305,1,10,8,6.281799873945465,0,0.5634675006900544,-0.714439624682473,0
286,306,1,7,7,4.240409764446355,0,-0.9124411847663494,0.9368280752330317,0
287,307,1,7,7,3.1608861392991625,0,-1.594589800267399,1.0623533758565868,0
288,308,1,6,7,3.360013845991739,1,-0.5945853494368537,0.27671494225916404,0
289,309,1,7,7,3.2319171486215517,1,-0.09266930290585665,0.2396967721998922,0
290,310,1,2,5,1.2640893882869961,0,-0.056285551968725006,-0.8031707547057371,1
291,311,1,5,6,3.2162012725691986,0,0.17160413453148607,-0.6504640412059877,0
292,312,1,5,6,3.660736492905265,1,0.2964377347576229,-0.5485176161520356,0
293,313,1,6,6,4.082896760102034,1,0.18114354654886416,0.12349103341596794,0
294,314,1,6,6,4.203913951420568,0,-0.20550275531727624,-0.09470526112164533,0
295,315,1,13,8,11.729507450265716,1,1.342449695979707,0.7602986613843805,0
296,316,1,4,4,3.151956153590521,0,-0.4972244255903519,0.4214826425261808,0
297,317,1,0,1,-0.17889704653082217,0,-0.904976201072571,-1.1127764797208641,1
298,318,1,7,5,6.306307029779838,1,0.37650293701606335,0.40181448362552613,0
299,319,1,8,5,4.4899686992908885,1,0.4509229958245744,-0.020150898895818396,0
300,320,1,0,1,-0.16151072596906624,0,-0.4089566805014459,-1.6574464931106845,1
301,322,1,3,3,2.664356695388112,1,-1.0360910651943063,0.6433612471308776,1
302,323,1,6,4,4.515888460572091,1,-0.8364002603022821,1.0561749095555537,0
303,324,1,7,4,6.946054090694679,0,-0.5086911744123704,0.8698722426899526,0
304,325,1,4,3,3.7130474616591336,1,-0.03869251868965275,-0.06778660410507846,1
305,326,1,6,4,4.612138434689185,1,-0.20696270102528133,0.5529264022489149,0
306,327,1,11,5,9.30572911026676,0,2.688979714404726,-1.905395633860757,0
307,328,1,2,2,1.0201087387272694,0,-0.9017764826114013,-1.0662112757741682,0
308,329,1,6,4,5.1050966541442975,0,0.18758509291609954,0.0479303825778484,0
309,330,1,3,3,2.419614571688953,1,0.10633273449414266,-0.37387107537077763,1
310,331,1,0,1,-1.2112003555661885,0,-1.4887892462983559,-0.5841826790535894,1
311,332,1,9,6,8.053357378066854,0,0.20258444844606505,1.2645776091437115,0
312,333,1,9,6,7.37817948684745,1,-0.6909761738428118,1.6573857442391913,0
313,334,1,0,1,-4.109303788471383,0,-1.41027041688161,-1.599459019907961,1
314,335,1,11,7,9.372287396006193,1,0.6852775024858178,0.6156857145939807,0
315,336,1,5,5,4.36763002709091,1,0.5093466875716355,-0.15829207532595826,1
316,337,1,5,6,4.841462550618193,0,0.4549803358992674,-1.0231066233660053,1
317,338,1,4,6,3.924046939212285,1,0.4511601862073412,-0.3693642335064095,1
318,339,1,13,8,9.148096695319849,0,1.0012744326160823,0.6072961859130086,0
319,340,1,7,7,6.785596555471606,1,1.0805153376601506,0.27557448743036206,0
320,341,1,12,8,7.37777495680308,1,0.6488640381171332,0.9512573657948259,0
321,342,1,1,2,0.6337542704851673,1,-0.4757881079388534,-0.258861313226505,1
322,343,1,8,7,5.25920279483692,0,-0.635422975964488,0.6558155285357502,0
323,344,1,8,7,5.392855543441779,0,-0.581157902289142,0.9077749712296604,0
324,345,1,8,7,6.976324606534419,0,0.18070002381550682,-0.04211366506276283,0
325,346,1,2,3,1.439583198297556,1,-0.5341563001572602,-0.13539025765459006,1
326,348,1,6,5,5.649784834935005,0,0.2893205531258595,0.28274998471721857,1
327,349,1,0,1,-3.158436865315271,0,-0.5321259454450733,-2.3896503818558132,1
328,350,1,10,6,9.747356449712637,0,0.9378885727003918,0.7242908693260387,0
329,351,1,10,6,7.791830743192848,1,-0.31653099020945374,1.8387232369992637,0
330,352,1,8,5,7.283891232046064,0,0.8561042685206256,0.07111627995459485,0
331,353,1,8,4,5.7291242941944445,1,0.26785292160535823,0.28004924804073467,0
332,354,1,3,3,1.1612640225099513,1,0.15543947165066405,-1.172745070964669,0
333,355,1,4,3,3.7971403226477074,0,-0.8896202793575614,0.8540090114892952,0
334,356,1,3,2,1.9845281244009518,1,-0.52100626540115,0.29471846003169394,0
335,357,1,7,4,6.259969026220436,1,0.41168879264710595,0.5998124707411304,0
336,358,1,12,5,9.382295737649477,0,0.6087447739573014,0.6735191359184847,0
337,359,1,2,2,0.668632954560364,1,-0.6767992925633126,-0.8707647587400522,0
