name,activated,threshold,before_activation_alters,after_activation_alters,degree,observed,age
234,1,2.899047009482078,2,11,11,0,-0.7236590606595212
235,1,4.047929625186631,3,6,9,0,0.7348488124459054
236,1,2.468973433623173,1,3,9,0,-1.0252069635916217
237,1,5.218303885985016,3,6,10,0,0.2220692268356447
238,1,4.664908023057931,4,6,11,0,1.0798290681555964
239,1,2.041313604782342,1,3,11,0,-0.6062380295985123
240,1,2.2482228767892853,2,3,10,1,-0.7086214347086324
241,1,2.930676588480216,2,6,7,0,-0.5025942295988785
242,1,1.238039305994749,1,4,8,0,-1.1147289768760817
243,1,4.0607127759858965,1,6,11,0,0.5938151515050385
244,1,3.401079176819308,3,8,11,0,-0.11636067134387373
245,1,3.911790491033072,0,4,11,0,-0.197161360284163
246,1,3.2684520821983227,1,8,11,0,-0.39934010731131275
247,1,3.555805371290204,2,10,10,0,0.015151065313311583
248,1,1.2176964659504028,1,2,9,1,-0.9293491218686831
249,1,3.1013041863306663,2,4,10,0,-0.5585660843663769
250,1,3.052458005191677,3,9,11,0,-0.6941310060738314
251,1,2.1667566769143916,2,4,11,0,0.04856224505785542
252,1,4.441030901436189,3,5,8,0,1.5799206102292076
253,1,5.42212406981168,2,9,10,0,1.1052240219366338
254,1,4.5928916785581535,3,5,10,0,1.4878939690269353
255,1,2.195001722580729,1,4,8,0,-0.8374174442641664
256,1,5.043334254451925,5,10,10,0,1.6516143220605517
257,1,2.303398336782374,1,3,11,0,-0.5595585345038735
258,1,1.4208325557578256,0,4,10,0,-1.4675165004824147
259,1,4.438997775839102,4,5,9,1,1.2095113555606352
260,1,4.120919625858415,2,9,12,0,0.6890657829021535
261,1,2.3166007677028,1,3,11,0,-2.2174896331374025
262,1,3.5253276291655977,3,4,8,1,0.35786785723113285
263,1,2.710364171127132,2,3,10,1,-0.06306339336592974
264,1,2.8192076625425058,2,3,10,1,0.4032935321156471
265,1,3.3099382201574308,3,7,8,0,1.0902571989718939
266,1,4.191257698107249,4,5,10,1,2.066915761005606
267,1,4.610596806957103,3,6,11,0,1.1682498010461082
268,1,0.8465514993780863,0,1,9,1,-1.9179424466780726
269,1,4.053507597405337,4,5,9,1,1.1435982661631237
270,1,4.559611893499609,2,7,9,0,0.04583363822202981
271,1,1.365379220427188,1,2,12,1,-1.064139988309005
272,1,3.2166985001248602,1,5,8,0,-0.8376961891488569
273,1,2.9019001444304275,2,3,8,1,-0.22674956904867974
274,1,5.646017005679934,5,7,8,0,1.9403945754997716
275,1,3.0684953449718613,3,6,12,0,0.2911068822067608
276,1,3.3536950912569985,2,7,10,0,0.09114643114814303
277,1,3.3450227028664266,0,8,10,0,-0.6967955200393172
278,1,3.279367933962553,2,4,11,0,-0.3727540792608091
279,1,2.592427850192263,1,3,10,0,-0.44636438567699577
280,1,1.5362347913381482,1,2,10,1,-0.7714575860996526
281,1,1.7547848357550513,1,2,10,1,0.016975254819830636
282,1,4.5663271064003474,0,5,9,0,1.8001144265217601
283,1,1.9918236839892087,1,6,11,0,-1.5048381184318251
284,1,1.0581335271886263,1,4,9,0,-1.0650832651963602
285,1,3.59608733538955,2,8,10,0,-0.7942013208727933
286,1,2.5986722682802963,1,7,9,0,0.33225113003140166
287,1,3.3231091669720016,3,7,11,0,0.5322311702624803
288,1,4.072901432463121,3,5,10,0,1.5831315038726965
289,1,2.857793546991715,1,5,10,0,1.056093240905932
290,1,3.3381804089794826,1,4,8,0,-0.9151670473504828
291,1,3.0115431775054624,3,10,11,0,-0.9166816150850863
292,1,0.012735133605869198,0,1,12,1,-3.0545060058637628
293,1,1.1484417000186702,1,5,8,0,-1.3861407673110393
294,1,3.8835139351311696,3,10,11,0,0.7360370049755419
295,1,3.453530085679427,3,5,8,0,0.27374605630462506
296,1,5.199891237493626,3,6,11,0,-0.0045182871896882896
297,1,1.6875127218644104,1,2,11,1,-0.792196104075304
298,1,4.07116987745149,4,5,9,1,0.5499828858708273
299,1,3.702026771604386,3,5,9,0,1.6351509986559303
300,1,2.8339976341806987,2,7,10,0,-0.32895669740380207
301,1,-0.37408918106834266,0,0,11,1,-2.1544719785271744
302,1,4.329765685722311,4,9,9,0,0.752828769531436
303,1,0.5364814733135015,0,1,11,1,-1.6276099038556877
304,1,2.7194418581110043,2,3,9,1,0.1836064491453906
305,1,2.2102441983833314,2,3,10,1,-1.4521704984058872
306,1,3.933241958204209,2,5,12,0,1.6351738127505753
307,1,3.7888093374877307,2,4,10,0,0.5656865062908608
308,1,2.7614711629564885,1,7,11,0,-0.442122817387243
309,1,5.608575142911976,2,6,9,0,0.823820276612564
310,1,0.8940649909472618,0,1,12,1,0.19122213230845786
311,1,3.8348537301984558,3,4,12,1,0.5373408670532017
312,1,3.5283795957118134,0,9,11,0,0.9034788037221879
313,1,2.574954897375668,2,3,10,1,-0.4456411186977121
314,1,3.710470499875778,3,4,12,1,-0.35975109581445414
315,1,0.5903207068412049,0,1,10,1,-1.9057050201045005
316,1,1.7476607616947404,1,3,9,0,-1.2977674190343014
317,1,5.349398319383777,3,6,9,0,1.6513137937535263
318,1,2.783604665837223,2,7,9,0,0.25791659315087484
319,1,1.5873121921504465,1,2,8,1,-1.7485359950113404
320,1,1.2704208151831584,1,3,10,0,-0.7660868972072792
321,1,3.459743370018725,0,4,10,0,-1.6562430927237886
322,1,3.454973030340703,2,4,8,0,1.0635461985982309
323,1,4.715013434302334,1,5,11,0,1.2733909710475368
324,1,3.2486756978314197,0,7,9,0,1.4755560031831965
325,1,1.0225879455407882,0,2,12,0,-1.265700797111681
326,1,1.8946063151283603,0,2,9,0,-1.132642662108394
327,1,4.63147526737494,3,7,11,0,0.27409832982122123
328,1,0.21540211114606667,0,1,10,1,-1.8313607404971264
329,1,4.000168352880055,3,7,8,0,0.4995485186065891
330,1,3.4210504105386956,0,4,11,0,-0.6596175779175144
331,1,3.910168153653396,1,4,10,0,0.031836734774018965
332,1,0.5298769227362845,0,1,10,1,-1.2666881557244967
333,1,3.479623552378955,3,4,11,1,1.3769582760857162
334,1,1.9638359341837734,1,4,9,0,-1.6926639785817896
335,1,5.402898859460834,5,6,9,1,-0.05281267892144229
336,1,3.352931040482915,3,7,10,0,-0.024899975390504616
337,1,4.617524194419179,3,8,9,0,-0.10686456357334426
338,1,1.8374320538009188,1,2,8,1,-1.0005878610884196
339,1,1.4364127091753847,1,2,10,1,-0.7118732320997854
340,1,3.858353958762205,3,5,10,0,0.05193633721876924
341,1,1.7165711767943037,1,4,11,0,-0.37725718998686386
342,1,3.864319179565947,0,7,8,0,0.2383305456921033
343,1,3.3139661363253032,2,10,10,0,2.0229182025479924
344,1,4.494937719733028,4,5,12,1,-0.6888227109007599
345,1,1.2797920432377712,1,2,9,1,-0.8540755980236046
346,1,4.058485841316201,4,5,10,1,0.6537159297112075
347,1,5.170447760635692,0,6,9,0,1.5030584199701658
348,1,2.9615438645758325,0,4,11,0,-0.5568678775981868
349,1,2.7400766608783,2,4,8,0,-0.12036678408019656
350,1,2.954388636002055,1,3,9,0,-1.3399921489935553
351,1,3.273675077257064,0,5,9,0,0.04610392276217415
352,1,1.593565658154567,1,2,11,1,0.16406984975049022
353,1,1.8663568597066,0,3,13,0,0.09868347184983678
354,1,0.9638741466728051,0,2,13,0,-0.4338213402886822
355,1,4.706772421873713,3,10,12,0,0.6046703742736834
356,1,4.455951187250869,0,6,8,0,0.3558255000685793
357,1,4.616221677168611,4,5,9,1,1.718486328152024
358,1,2.2660061189248846,1,5,9,0,-0.8363037497332078
359,1,0.44139201882995494,0,1,10,1,-1.8316485335824342
360,1,1.2158822431185685,1,3,11,0,0.6344405190296981
361,1,4.302421386985898,4,9,10,0,0.8453091290941078
362,1,3.5042312621463445,3,8,8,0,0.3567311114596731
363,1,1.8751047835342582,0,6,11,0,-1.0689437613541033
364,1,1.490042442834146,0,2,10,0,-0.5639396665693028
365,1,2.046885364121277,2,5,8,0,-0.43745488662085036
366,1,0.7335210304399524,0,1,10,1,-0.5464150101290068
367,1,4.360901760232599,4,5,9,1,1.1659362767478312
368,1,1.7452544827683123,0,2,9,0,-0.9889774478213543
369,1,2.4883700309728045,2,8,12,0,-1.1502207290257978
