,ego,activated,activated alters,timestep,true threshold,bin_var1,var1,var2
261,1668,1,0,,-1.5855893963473182,1,0.47309520461247284,-2.0460893877515636
262,1676,1,0,,-2.077174217617859,1,-1.3109005823966304,-0.40805652911619694
263,1679,1,0,,-3.345919992488288,1,-0.6203236126666305,-0.925930516301552
264,1681,1,0,,-4.19297388570609,1,-2.332794292822946,-0.22321015873522473
265,1687,1,0,,-0.029321221987468782,0,0.6270541360523242,-1.8720722803934933
266,1691,1,0,,-6.552167089399513,1,-1.0995322086417452,-2.4322943989652575
267,1694,1,0,,-3.100228258784692,1,-1.7205307606652014,-0.1429859775236124
268,1697,1,0,,-1.5976534702463023,1,0.4316371955151515,-2.0687633889037595
269,1705,1,0,,-1.613104956990065,0,-1.4832185601362322,-0.22900631311432637
270,1713,1,0,,-6.790945618066931,1,-0.634135078862268,-2.540912546243678
271,1716,1,0,,-1.7512379206405466,1,-1.4625667477980504,-0.18248330767894186
272,1724,1,0,,-2.880957597470278,0,-1.418948769011072,-1.440064122871615
273,1725,1,0,,-1.0836271108201376,1,0.20002786506475048,-1.8193825418449865
274,1734,1,0,,-1.643981040225983,0,-1.2273371298532278,-1.0107016190680393
275,1736,1,0,,-2.4689835941727707,0,-1.7936483680402675,-0.845183232794063
276,1739,1,0,,-0.16787077376911175,1,-0.6560395772077019,-0.40061806055165833
277,1745,1,0,,-0.670402622030279,1,-1.3990935987415813,-0.6174348004440908
278,1752,1,0,,-0.7659338979839677,1,-0.8970633096594693,-0.5233026137443575
279,1753,1,0,,-0.26987378761683556,1,-1.2092074933787427,0.4181653231512106
280,1759,1,0,,-1.3621583854165187,0,-2.4570367711702046,0.08028129382582909
281,1773,1,0,,-3.536567257881015,0,-0.7076920577727135,-2.1671916998221956
282,1791,1,0,,-2.4155193597903866,1,-0.2800602972174786,-1.3028394620095416
283,1806,1,0,,-2.6279264566817235,0,-0.08550704673628912,-2.1342005501763097
284,1831,1,0,,-8.897213500665483,1,-2.2891605486265165,-1.6208147655336487
285,1838,1,0,,-1.6507594646055475,0,-1.710150947171345,-0.33182445481659195
286,1839,1,0,,-0.09880178286617514,1,-0.26846951705534805,-0.8664555860735456
287,1847,1,0,,-0.3178358344165633,0,-1.375147714449299,-0.38046221011259174
288,1857,1,0,,-2.9765452719527166,1,-1.1822725619909031,-1.0536664891724008
289,1858,1,0,,-2.376477056137358,1,-1.5749152436818687,-0.48407856700770846
290,1865,1,0,,-2.0982988490360945,0,-1.3615352921775505,-0.7888847899743459
291,1875,1,0,,-1.673524424600472,1,-1.2568176698155278,-0.7824077499760338
292,1879,1,0,,-6.451434137628855,1,-0.268742002753746,-2.4400224531044303
293,1882,1,0,,-0.5152571507274117,1,-0.7752372920494607,-0.2922644229361482
294,1896,1,0,,-1.4170734096028892,1,-0.6417288151940106,-0.8373018656865919
295,1898,1,0,,-1.1921222120617747,1,-1.8525503712839884,0.3698711991951
296,1906,1,0,,-0.7301395782851157,0,-0.36965788139035344,-1.8951151772238795
297,1925,1,0,,-0.22211360488740095,1,-0.7454870932920222,-0.851280225280523
298,1930,1,0,,-2.916796678569134,0,-3.4361365531555967,0.5698613494232322
299,1934,1,0,,-1.536537376240076,1,-1.3087131982273987,-0.14377100134746626
300,1936,1,0,,-0.2067136010334396,1,0.8907485240280055,-1.4551319736897235
301,1940,1,0,,-2.1845706119758974,1,-2.0698170636575917,-0.045208702354555624
