,ego,activated,activated alters,timestep,true threshold,bin_var1,var1,var2
1431,9474,1,0,,-2.648006205798996,1,-1.2024457078434114,-0.8175791187145383
1432,9480,1,0,,-0.6291363270805417,1,-0.7814435742017465,-0.6910074342819823
1433,9481,1,0,,-0.20544404707458375,1,-0.937124216751138,-0.6142282015910021
1434,9490,1,0,,-1.0190461131009407,0,-0.08173625587054942,-2.084065444900163
1435,9491,1,0,,-0.7164335498735566,1,-0.4655923285974781,-0.5850843786640875
1436,9492,1,0,,-1.8193713775038163,1,-0.7252817705017122,-0.8182051739145565
1437,9496,1,0,,-2.6074302262757256,0,-0.49786861645569064,-1.484321717229467
1438,9497,1,0,,-3.8995001177730266,1,-1.1276943821384424,-1.6027113912746633
1439,9505,1,0,,-3.905253214036339,0,-1.903746311813859,-0.5375424605130824
1440,9507,1,0,,-0.28217769608594734,0,-1.0476944748354178,-0.477858276967304
1441,9519,1,0,,-1.595443860216994,1,-0.24423532664693126,-1.3766508879820565
1442,9523,1,0,,-4.7577994993909165,1,-2.067115535922812,-0.37653298008491265
1443,9542,1,0,,-0.16622262386004483,1,-0.6686798354948221,-1.0008444811998074
1444,9555,1,0,,-3.1072118565927633,1,-0.9083374613983138,-1.0807342525218226
1445,9558,1,0,,-1.0184578498096444,1,0.5577487356036034,-1.7248675528570487
1446,9559,1,0,,-2.7464843622649373,1,-2.463315360710351,0.08991857317576073
1447,9566,1,0,,-0.7488077857114479,1,-1.4197940397167215,0.015296632425477864
1448,9577,1,0,,-2.2608066725117224,1,-1.9377583383961332,-0.2096252512348015
1449,9579,1,0,,-1.478409512971056,1,-1.4786733537352557,-0.5578841715404986
1450,9581,1,0,,-2.8607176619399564,0,-0.47590632403982125,-2.1001832746383045
1451,9583,1,0,,-0.07127359461808602,1,-1.0731610209351192,0.1628981801228616
1452,9588,1,0,,-0.9945872366192587,0,-1.0099503377371781,-0.6589706585448993
1453,9601,1,0,,-1.3373825633639034,1,-0.35404566697824597,-1.3265650631567314
1454,9613,1,0,,-0.24242992864398016,0,-0.22108499783705085,-1.691064568310061
1455,9627,1,0,,-1.244068095854051,1,-1.3602304650321908,-0.27349531548090833
1456,9656,1,0,,-1.254234317200261,0,-2.3738768995402313,0.5794140844451375
1457,9659,1,0,,-0.5328744943000643,1,1.1233292497480327,-2.2751440238266767
1458,9669,1,0,,-1.393393086365709,0,-0.5499294852334699,-1.9063377004567783
1459,9672,1,0,,-0.24105625079472037,1,-0.6133061765490349,-0.8116607578010063
1460,9673,1,0,,-0.5977419802742343,1,0.04022654208487504,-1.314141619867538
1461,9680,1,0,,-1.1512081791599955,1,-1.1604981345434549,-0.7264617501515045
1462,9685,1,0,,-0.5900631381322968,0,-0.38553350767183014,-1.5860719943206765
1463,9696,1,0,,-0.2169414174494652,0,-1.159130530371385,-0.4234794314271639
1464,9703,1,0,,-0.9444608699777569,0,-1.5395692649730413,-0.46809035651605857
1465,9705,1,0,,-0.40625709825644496,1,-0.7347170916903821,-0.424666643153997
